Title,Published_date,Likes,Views
Confronting Ronaldo,2024-11-29,11125554,175474888
How Many Balloons To Make A Store Fly?,2024-11-18,9944267,390048278
Restocking MrBeast Labs at Walmart,2024-11-18,4789015,229350237
This Game Is Wild...,2024-11-12,12661683,563776198
How Much Tape To Stop A Lamborghini?,2024-11-08,13585885,671107683
"$1 vs $500,000 Experiences!",2024-11-02,4992745,247168538
1 Subscriber = 1 Penny,2024-10-19,15875913,317009698
Human vs Jet Engine,2024-10-17,12888228,471331566
7 Days Exploring An Underground City,2024-10-12,3538258,147890644
Will A Basketball Boat Hold My Weight?,2024-10-11,9521268,327122164
"Find The Real MrBeast, Win $10,000",2024-10-05,9546926,288850667
"Spot The Difference, Win $10,000",2024-09-28,7791474,226548267
"100 Identical Twins Fight For $250,000",2024-09-28,3216409,158651245
Running With Bigger And Bigger Lunchlys,2024-09-20,7962582,297923836
Holding Bigger And Bigger Dogs,2024-09-16,7691455,280805274
"Men Vs Women Survive In The Wilderness For $500,000",2024-09-07,4059084,176759172
Will A Guitar Boat Hold My Weight?,2024-09-05,17819032,705424597
"Real Or Cake For $10,000",2024-08-29,7176351,187869596
7 Days Stranded In A Cave,2024-08-17,4472168,151924001
Running With Bigger And Bigger Feastables,2024-08-15,11937003,401509996
"Survive 100 Days In Nuclear Bunker, Win $500,000",2024-08-03,5941981,289295772
"Spot The Fake Animal For $10,000",2024-07-19,16425646,541858646
This Game Is Wild,2024-07-17,6095638,219037791
"50 YouTubers Fight For $1,000,000",2024-07-13,9351259,367225259
Pass The Phone To…,2024-07-11,10752933,231410060
How Many Balloons Does It Take To Fly?,2024-07-10,20167809,510870158
I Built 100 Houses And Gave Them Away!,2024-06-29,7657336,197963399
World’s Deadliest Obstacle Course!,2024-06-15,6510814,324731760
"$10,000 Every Day You Survive In The Wilderness",2024-06-01,8280960,284008397
Sprinting with More and More Money,2024-05-30,11846158,305583801
Giving 1000 Phones Away,2024-05-28,22020100,297430178
World’s Smartest Dog,2024-05-16,9775237,224784176
Bottle Head Smashing World Record Attempt!,2024-05-14,12308340,470095154
"Protect The Yacht, Keep It!",2024-05-11,4136098,153197058
Ages 1-100 Try My Chocolate,2024-05-09,9598983,251721979
"Spot The Hidden People For $10,000",2024-05-08,6278856,188852332
"Would You Split Or Steal $250,000?",2024-05-03,11161130,194741964
"Buy Feastables, Win Unlimited Money",2024-04-30,11577845,316398467
